clean_review,label
"chilly corn in veg starters were very good, tandoori paneer veg starter was not up to mark,lot of oil ,even bread crumbs in tomato soup were too oily. rest ambience and service are good here.",1
"komatose on a sunday night is the perfect place to be, happened to be drizzling, which made for the perfect atmosphere to chill outside in the cabanas. inside was a pretty small area for a bar, but had loads of seating space which extended out to a floor above, overlooking the area below. lighting was funky and great, the vibrant colors adding to the vibe. being a big bunch, we ordered different drinks and luckily i got to taste all. the most special of these were from 'the 7 deadly sins of koma' menu. the taste was as described on the menu. lust in particular was something different i'd never tasted before, a chilli-spiced vodka, strawberry infusion . the appetizers we had we're really good, something i enjoyed more than the alcohol. dragon prawns , grilled pomfret , peshawar chapali kebabs are some of the must orders! didn't quite like the nawabi shikhampuri. while all the items tasted great, i felt the portion sizes to be rather small for the price. best for the last, not being a kid here, but the mocktails were just mind-blowing. had a few different fruit flavors, peach, mango, green apple, lime, out of which the peach was the best. multiple rounds of that gave me the sugar rush . the service was professional and quick. would've wished for better music, and there was no dj at the music station. however we had the freedom to play our own songs which was great! it's a perfect place to watch a match screening, have a party, or if you're in the mood for it, go into 'comatose' . here's my overall score food - 3.5 5 ambience - 3.5 5 vfm - 3.5 5 service - 3.5 5",2
"food - 5 vfm - 3.5 packing - 3.5 service 3.5 have been to this place multiple times. this is located at the bottom floor of sln terminal mall. ordered heaven can wait chicken burger, double big joy and big joy veg burgers. heaven can wait was awesome with two chicken patties of pepper and spicy flavors, along with lettuce, cheese and jalape o sauce. packing for delivery can be improved though. the big joy buggers were fine but lacking in sauces.",2
"the drunch trend has picked up in hyderabad and hyperlocal has joined in too. the ambience is good although the place is pretty small and a bit cramped up. the utilisation of the limited space is done well. a good place to chill with your drinks and watch the sun set. moving on to the food we tried the newly launched drudge menu. priced at rs.1200, this was an expensive affair. however if you are early i.e before 4 30 pm then you can avail the same drunch for 799. they had a theme which revolved around delhi street food. the drinks menu was lovely and so were the drinks. we tried a couple of them and the mocktail of the day was the kiwi mint cooler. the buffet consisted of golgappe, dahi bhalle, sev puri, bruschetta, mini veg and non veg pizza, dahi kachori, chole bhature, red thai curry with rice, chicken tikka, fries, noodles and chicken tikka pockets. golgappe, sev puri and dahi bhalle very really tasty and had that typical street food taste. dahi kachori was a complete let down. the bruschetta stood out and pizza was average. chole bhature were okay but the bhature weren't crisp. the red thai curry was a complete let down and tasted like a chinese preparation. noodles were randomly kept with no gravy. the chicken tikka pockets were dry. the chicken tikka was good and marinated very well. overall the management needs to put a lot of thought in the menu planning as it the menu as a whole didn't go together. the idea of having so many chaat items for a drunch menu just doesn't sound correct. the music was extremely loud for the place. overall we had a below average experience. based on the drunch menu i would rate it 2.5 5",1
went with collegues for lunch...good food.. ..but not so great ambience... staff is not pleasing at all. there were only bothered about taking plates off the table.,1
"the ambience is quite a steal! such interiors and those amazing cars and bikes lined up outside a must visit for bikers cause they even have fancy merchandise inside. this place being really close to our residence, we are frequent visitors. the best part is that it s open late in the night hours. you can just have a drink and chill in the outdoor seating area. pure bliss! i ve tried the cafe mocha,mint mocha- strong minty flavour, hot chocolate all equally good. the snacks are quite average and can be avoided. the chilli cheese toast is a disappointment. sizzling brownie was yum and so was pesto pasta though it was slightly overpriced. one of the cool places to enjoy and try different coffee drinks, i must say.",2
"hostile staff, okeish food, not so great ambiance. not sure how the rating on zomato stands at 4.1 starters we're decent but main course was horrible. will not suggest this place.",0
very bad ...i didn't expect this quality and taste...,0
"review is for delivery only. ordered dum la murg asifi, with roti and nan. little disappointed with quantity of curry. was too less. but the taste made it worth the quantity. it was fantastic. thick rich creamy gravy with almond paste. absolutely blown away by the taste. only if quantity was improved it would have been a perfect 5.",2
the ordered veg biryani was without vegetables..i don't understand how this is called a veg biryani..the quantity is good matching to the cost.,1
"this place has a good ambience. however, the food is not up to the mark. the staff usually takes a lot of time to bring the food which is also not mouth-watering. undoubtedly, gal punjab di can improve.",1
sabir-service is extremely good. he is very courteous and fantastic. nice ambience and super starters.. awesome food overall. recommends this restaurant.. please try out,2
"food is horrible , cost both bar and food are too costly and the taste of food don't justify the price.but ambiance is okay , music is nice . good place for drinking but food ! ah ah no",1
momos was not good do not know how to make. stuffing was of spring roll.,1
"it was a horrible experience. food was okayish, definitely not of 5-star hotel standard. the dinner buffet spread didn t have variety. place was overcrowded and the ambience was bland. but the thing that spoiled our evening was their pathetic service and attitude. there was almost zero attention to customers. you go there and sit at the table and no one even comes and serves water or anything. no one guides or provides instructions. basically you are supposed to go and start serving yourself as if you are in some langar and not a high end restaurant. even for the bill we had to go the counter and ask thrice. definitely not a place to go with your special someone.",0
"bad experience, i have ordered for cake a day before my wife birthday committed to deliver between 11 am to 1 pm , requested them to send the cake bit early, but strictly said , they cannot deliver before after 1 pm when i call them the status ,they said it will take some time and not even delivered , as i have other commitments on that day , i cannot wait at home till they deliver , when i ask them to cancel order they said its not possible taste may be good not sure but service is worst",0
"the quality of the food is bad. the noodles, starter and the sweet, everything was drenched in heavy oil. the taste itself shows that the oil used is also of low quality. rather than spending on the packaging of the food, they could have spent some money on providing health food.",0
"really really bad spring rolls. smelled really weird like it's rotten or puke...oil used or some sauces might have gone wrong. extremely oily...never seen anything like that. just wrapped it in tissues and yet over flowing oil, squeezed into the sink honestly. couldn't eat it obviously because of the smell and oil.",0
"it is very rare that the food is so horrible that you have to leave it mid-way and post a review. i ordered chicken burger fries wings soft drink combo through zomato, and received my order fairly quickly. however, 1 fries were totally cold and soggy. 2 burger was average - tasted like the low-end 40 rupees burger at mcdonalds. 3 wings were either burnt or double-fried. there were parts of the thick coating which were burnt black - and they perhaps tried to fix it by adding too much sauce on the top. looking at other reviews it feels like it might be once-in-a-while exception but they ruined my monday lunch! wouldn't recommend.",0
the so called cheese dip tasted like peanut chutney... had a good experience with this place before... but previous delivery was disappointing.,0
"slow service. food's not upto the mark. this restaurant seems in love with sugar, they put it veggies and soup in bulk. service staff was not courteous.",1
