clean_review,label
"if you have no value for money then this restaurant is good to waste your money. reason for giving 3 is due to veg curries which were told be good by my vegan friends. but, we, non-veg guys were totally disappointed for non-veg curries. it's got no taste at all. chilli chicken gravy was like saucy-saucy. no spicy at all. butter rotis were thicker than it usually has to be. it tasted like wheat flour and not maida. service- good taste- below average ambiance- good cost- high",1
"food extremely spicy. noodles were made in andhra style, were very spicy and had whole red chillies in it. there was hair in chicken. service bad, takes forever to bring food.",0
"the food is nice, tasty and generous in quality and quantity at a very reasonable price. the place is always crowded for this reason. ambience is not that great and you can give it a try.",1
"the lime restaurant served us catering for our house warming my daughter birthday since last 3 year in row now . could'nt find a replacement for them who can better served us then them for our parties .every time they came out of box . amazing hospitality ,very well professional staff . raj the lime manager is very professional friendly who understood our requirement very well . and present us more then what we expected . food was really tasty ,right level of spice was used ,it was presented so well . all of our guest liked it . i would highly recommend them for catering services .",1
one of the best gobi manchurians in the world! thank you and keep up the quality always!,1
"if you are looking for north indian food in hyderabad then do not visit this place. the waiters will not listen if food is late, manager is totally uncivilized tries to peek into customers wallet and also talks rudely . we ordered 1 daal makhani not even average 2 paneer serverd with hair in it 3 biriyani below average 4 tandoori roti 5 sweet lassi after finishing the food, they will serve you finger bowl with food particles already present in it..!! food - 0 5 staff - 0 5 ambience - 1 5 hygiene - 0 5 i will never recommend this place to anyone. theglobetrotterlady.com",0
are we fool here to order cheese burst? when we can eat a simple base pizza. always disappointed with the cheese quantity,0
excellent food but why am i always given plastic cutlery even though i specifically request it not be provided?,0
worst food ..... i would never order from this again... i ordered lucknowi biryani .... that turned out bullshittt.... it looked like timato chutney rice ....,0
"would you like to feast on north indian food in hyderabad? are you a foodie or die hard fan of butter chicken? go or order from norfest, i was deffinitely vow after having sambhar or idli for couple of days when i ordered from this place. big fan of them, tried their all outlet and i must say good pricing with awesome taste without curry leaves in hyderabad no offence to south indian food . best part is that it will not hurt your wallet badly if you compare with dhaba etd 1956 or other so called north indian restaurant.",1
good place to hangout friends ans special thanks to akhil for friendlu service and saving us after the deadly blazin wings . very happy to eat here,1
"ordered lazeez bhuna murgh biryani boneless .really disappointed with the the food ,quality and quantity wise its decent. but taste wise its bad .",0
open sitting arrangement .good to go in the evening. tasty food with decent price. try the cocktails or mocktail .its nice . good service have large area for parking. can improve the ambiance by keep it more clean and decorative.,1
"service was pathetic. ordered a sizzler with lamb, was told no lamb. ordered another sizzle with noodles. it took 15 mins to serve that one. also, served it with rice instead and when i asked to change, they gave me a noodle differently and that too since they were irritated with lots of chilli sauce. i sweated through first 5 mins and then just left the sizzler as such. no apologies, nothing from there side. when asked for manager, told me he is not here. prakash was not helpful or apologetic, he just denied that he never served it. benjamin still was apologetic about the whole goofup.",0
"apparently that's their garnish. oh yeah, the orange peel on the plate. was my drink the dustbin? lol . oh wait, i guess maybe i never had a cocktail. that's what the waiter said. horrible service. the guy wasn't ready to even call the manager.",0
"every year i desparately wait to try their haleem during ramadan season. always knew about their haleem and was surprised to taste their mughai range. the food was delicious and quite easy on pockets. the place is divided into two sections, inside there is a private eating space good for families. the quality and quantity of the food was satisfying. the dessert range in the bakery section was yummy and delicious. the staff was friendly and super-fast. you definitely can try this one when you re around this area be it for a quite bite or proper spread.",1
"great place to dine with and enjoyed the ulavacharu chicken pulao, tastes good. it's a perfect venue to enjoy some of the special andhra dishes with a starry night view. it has a beautiful ambiance and wanna visit again.",1
all great except the staff. the service is quite poor and they made a lot of fuss about using zomato gold. lots of mosquitoes. staff won't care to put some mosquito repellant either.,0
"very good service and food, chicken lollipop was delicious and so was the chicken biryani, large portions so you won t be left hungry, please do visit",1
food could have been more tasty..nd quality too was not uoto the mark,0
avarage taste,1
"very unprofessional and rude staffs. if you order 2 beers, they will insist for a bucket and if you do not order a bucket, they will take half an hour to bring your order. the place is overcrowded during weekends and there is no proper crowd management of any sort. then the waiters say that because it is overcrowded, orders can't be processed properly. despite all that inconvenience and bad service, they force you for paying the tip and even argue over how much you want to pay. crowd is very indecent and sometimes vulgar and there is no provision for crowd control given that the place is overcrowded. music and dj is good with cheap food and drinks, which is a crowd puller. one can have a really nice time if you can bear all these and if crowd is what attracts you.",0
bad experience.. food is fine but their ac is not working and staff says this is out of their control. we were sweating. didn't expected this from such reputed restaurant.,0
i ordered their special chicken shawarma from zomato. first look it was quite heavy for one shawarma. the quantity is huge but coming to cons which is a quality.it is not at all good. the chicken was hard and unnecessarily they made it too spicy also. it usually stays open late night but don't order from here still.the quality needs to improve a lot. stay healthy. keep eating..not from here. cheers,0
the paneer was bad in chilli paneer,0
"been to this place twice-once with friends and ordered ala carte and other with collegues for a buffet- loved both the experiences. the food here is really good.unlike others, i will start with the dessert-love their creme brule the best and followed by their baked cheesecakes..have tried their chickn burgers, pizzas and thai cuisine as well--i loved the burgers the best, followed by thai curry..buffet was less impressive than ala carte but was happy with the variety-whic included hyderabadi cuisine apart form meditteranean...must place to visit in hydereabad.",1
awesome pizza. delivered before time. nice service.,1
i went to this place yesterday and we used zomato gold. the service was very disappointing. restaurant was out of staff. didn t attend properly even when the place was not at all crowded. food was also not upto the mark. served after a long time.heard alot about this place but..,0
food here is decent for the price paid. paneer paratha was awesome and huge. could easily fulfill even when one is very hungry. tried others like paneer butter masala didn t like it that much.,1
good food and friendly staff..mehrul sourab have been best . best buffet in town. fish in starters and rabdi in desserts are to be tasted must.,1
the rice was not at all tasting like biryani and it is very cold,0
amazing service by kamal !! he was really quick with the service and appreciate his recommendations on the menu!! keep up the good work !!!,1
lovely srvice .....,0
"very less quantity,not value for the price.",0
"i quite like the sumptuous north indian and south indian vegetarian thalis at this place. served hot. reasonably priced. not too fond of ala carte here, though i must add it is still better than a lot of places. the ambience and simple aesthetics of the place make it a great place for sunday lunch with family.",1
