clean_review,label
gobi manchuri ordered was completely uncooked! taste was ok quantity was ok but completely raw. dal was good and worthy. rice was very sufficient. please check the food. i couldn t eat yhe manchuri,1
very very disappointed. food taste was not up to the mark. it was worst in fact. very bad experience fasoos. should improve quality of food.,0
"i didnt get what i ordered...i ordered dal makhni combo and i got combo without dal makhni, just got rice ,roti and onion....terrible service",1
i ordered special mutton biryani in pakwan. the biryani is oily and full spicy. i hope the biryani is afternoons one. pieces are not boiled and very bad experience with pakwan grand. please appoint a good chef,1
stayed at radisson hyderabad and got to experience this restuarant. the dinner buffet spread was decent. it s a multi-cuisine buffet but the chinese options were real good. deserts was pretty decent. the breakfast buffet is also a good spread. the indian options were were tastier.,2
"they tried to create authentic experience right from the ambiance. food is a real treat, especially for those who like andhra cuisine. bamboo chicken, raju gari kodi pulao, guthivankaya pulao, are a must try. the only drawback is the service, which is slow. ambiance 4.5 5 service 4 5 food 5 5 vfm 4.5 5",2
"my peace of advice pls don't waste your money. over pricy, but buffet spread has very less items. very much disappointed and the food was not even hot",0
i got a lot of stuff which are cooked in pot those are simply awesome i really loved the starters very much and mainly the pulavs are superr,2
too spicy food,1
taste less biriyani...not following delivery instructions,1
i suggested not to add cucumber..still they did that. this is not done.,1
cake was damaged,0
the food is excellent . the service is also very good .very polite staff and good ambience too . the desserts are also very good . they celebrate special occassions also on the house.,2
"quality of food was average, although the service of the staff needs a little improvement. i had to wait for long duration even for a glass of water. potato wedges - 4.5 5 penne alfredo - 3.5 5 ferrero rocher shake - 2.5 5",1
love the shawarmas....turkish special shawarmas is the best. order is quick. tried mutton fried mandi...not worth the hype. food quality is to the point.,2
it s a worst service experience. food was ok. they took 45mins to get veg pulav. never seen a restaurant to take such time. won t visit again.,0
was wife's birthday and our anniversary as well.. naresh and bipul made it point to make it extra special. the hospitality and the culture of the employees keeps taking me back there forever..,2
"fries were very bad, i had to throw all of fries.",0
food packing is bad,0
visited here to have some quick bites. ordered a chicken cheese roll and butter chicken roll. both of them was very bad in taste that it almost made me puke.,0
the ambience is good. but the food wasn t upto the mark. the non veg starters were horrible. full of bones. the veg starters were okayish. the variety was less. the main course was okay. there was variety but no taste. there were hardly any desserts. disappointed.,0
had ordered chicken tandoori and fish tikka.. extremely disappointed with fish tikka.. fish used was stale and tasted worse.. packaging was ridiculous was charge 20 bucks for packaging though .. never ever would order again from this pathetic place..,0
great food. reasonably priced and situated in good location. had lamb and pasta. quality and quantity was great. we did not have to wait more than 10 minutes for the food. people coming for lunch would enjoy the golf course view. a must try for foodies.,2
"we went there for a buffet breakfast and it is definitely one of the best spreads. you think about a breakfast dish and it will be there be north indian, south indian or english delicacies. it has it all. the fact that there were no mangoes its the season was quite disappointing. also there could have been more varieties of paratha as there was only one subz paratha. the ambience is impeccable. they have indoor as well as outdoor seating. the indoor is very comfortable and the outdoor is fun with great view and kids play area. very courteous and polite staff. will definitely revisit. the place is famous for their lunch dinner buffet so hoping to have that the next time.",2
"hello everyone ! we visited this place a few days back and tried their buffet . we were not happy with the quality of food served. the variation was good enough. there were 2-3 veg as well as non veg starters. the main course also had 2 veg and non veg dishes each . but the taste was not at all satisfying. we expect this place will improve in future ! if what you read is in any way helpful for you , do like the review and follow us ! we would be happy to bring in honest reviews about different restaurants all across india !",1
full of food color.. doubtful whether it is a chicken or not.,0
tasty food,1
i have been here many times....the food are really delicious and nice place...staff are good and friendly as well....but one thing food used to pending and waited for so long...so you have to get more improve deliver food on the table and not letting them wait for so long.....thank you for give us apportunity to have the good food.,2
the burger was tasting sour maybe lot of sour sauces were added,1
"wahh ji waah! dilli ki yaad dila diya apne toh! after staying in delhi for 3 years, i was looking for a chatwala in hyderabad. here i found the chatwala now. the taste can be improved, but something is better than nothing.",2
"a very good example of a very bad restaurant service! sheraton was always on my top my list but feast - sheraton hyderabad has changed everything. to start with service is so bad here, we had to beg for serving drinking water. the quality of food is ok and fish fry was stale. linen napkins on the table are not properly washed or might be used ones. to sum up, the experience was terrible and not expected from sheraton. unhappy",0
"thr place is good and the food was great, however the service was slow. in mutton biryani the mutton was half cooked which was a spoiler. at last we ordered mutton rogan josh and i took ages to be delivered, finally we had to cancel the order and leave.",1
worst. please stop selling chole bhature,0
the chicken biriyani is very good and nice place in paradise gachibowli and service is very good so nice and enjoy the food. next time visit again soon with my friends,2
not properly fried,1
not good,0
