clean_review,label
we visited for sunday dinner! awful experience..food was all cold without any taste..though staff was courteous and tried to compensate by good behaviour but all in vain when food is not good..,0
"not worth it at all. paid 500 just to end up eating curd rice for the night . went here last night, got a table for 3. the service was extremely poor and slow . the waiter.. brought warm water bottle on a summer day .. first dropped water on us while pouring water into glass .. asked for cold water .. he came back only after 3 reminders. he was the only one around .. wearing a csk t shirt. when the starters started arriving i was shocked the starters were extremely spicy and contained extreme amounts of garlic. un bearable. for a person who has stayed in hyderabad all my life .. the waiter gives an explanation that this is how hyderabadi food tastes. mushroom wasn't good ..spicy and nothing less. fish wasn't cooked chicken was toooo spicy crispy corn .. basic item.. was oily and under cooked. potato cooked with its skin was again oily and totally bad panner didn't arrive at all water arrived left all food as it is on the plate and went got main course... biryani tasted like a spicy pulihora settled for curd rice icecream- asked for a butterscotch icecream with some gems icecream was good but the gems were tasting like synthetic chocolate.. horrible .. had to spit in the plate and leave in a hurry when i was about to leave the panner starter arrived .. i had a bite .. it was ok but i had enough already everyone around my table were complaining too.. but no use .. useless place never again",0
order items are not delivered completely,1
food is too oily and chutney is too salty.paneer is not cooked well..raw smell of ginger garlic in paneer parata..parata is too dense.need to improve the quality of food,1
food quality was not good as expected,0
we ordered samsa chola kulcha chola and sandwichs the taste quality is too much low i did not eat this type of quality food from different restaurant...worst taste and worst quality i ever had .....,0
i ordered fish biryani. but the restaurant delivered me prawns biryani. and biryani taste is not good. better choose other restaurants than this.,0
overpriced,1
"let me start the review by complementing the owners for a catchy name ,'the glass onion'. great ambience, okay food and a mesmerising view and a perfect place to take someone out on a date. ambience 4.9 5 food 3.5 5 overall 4.5 5 p.s you will never regret visiting this place even if you don't like the food.",2
it is just average coming to taste. you dont feei that lavishness as you feel from the hoardings and all. i have ordered from swiggy and quantity is not sufficient for 1person. at this price better we can pick many options. better dont take it.,1
"terrible experience. the place was crowded and noisy. the food had an odd smell to it, it almost tasted like they were using expired ingredients. wouldn t recommend to anyone.",0
decent place near dlf! their fry piece chicken biryani is my favourite since i prefer small chunks of chicken in my biryani as compared to one large piece.,1
"love their bbq chicken and mercury burger . though service is little slow and eating area is small , if you can manage to take away then this the best burger at its cost.",2
"i used to really love this place and food!! the problem is with how the zomato deliveryman assigned to deliver my food, didn't deliver my food. my order was paid online and he took my order for himself. he turned off his phone and didn't answer!. even zomato didn't update me about the follow-up. i never got my food.just the money was refunded, that's all! but is this what you get when you really need to eat and wait like hell,but get nothing!!this is really frustrating!! i don't know why zomato is ruining it's own reputation!.",0
one of the best worst place...biryani is too worst...but their strtegy is too good...they dont have ac but if we sit and eat the price is double..irresponsible serice...better to go to almas r biryanis...good bye..will never visit again,1
"very good delicious north indian dishes served hot with little waiting time after ordering. liked kadai veg curry and paneer butter masala plus romali roti, good deserts, excellent place for food lovers ambience 4.9, quality 4.8, service 4.9",2
very worst place. had a bad experience. place is filled with mosquitoes and food also very very average. better to avoid this place if you are going out with family or friends,0
waste fellow,0
paneer paratha's paneer was not good,0
